"p","not_SPNE","gCC_satisfied?","gCC_how_determined?","gCC_required_non_negative","gCD_satisfied?","gCD_how_determined?","gCD_required_non_negative","gDC_satisfied?","gDC_how_determined?","gDC_required_non_negative","gDD_satisfied?","gDD_how_determined?","gDD_required_non_negative","bCC_satisfied?","bCC_how_determined?","bCC_required_non_negative","bCD_satisfied?","bCD_how_determined?","bCD_required_non_negative","bDC_satisfied?","bDC_how_determined?","bDC_required_non_negative","bDD_satisfied?","bDD_how_determined?","bDD_required_non_negative"
"_00000000","False","True","directly","c","True","directly","c","True","directly","c","True","directly","c","True","directly","c","True","directly","c","True","directly","c","True","directly","c"
"_00000001","True","True","normalised","(b2 - c)*d + c","True","directly","c","True","directly","c","False","directly","(b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","True","normalised","(b2 - c)*d + c","True","normalised","(b2 - c)*d + c","True","normalised","(b2 - c)*d + c","True","normalised","(b2 - c)*d + c"
"_00000010","True","False","delta = 1","-b2 + c","True","directly","c","False","directly","-c","True","directly","c","False","delta = 1","-b2 + c","False","delta = 1","-b2 + c","False","delta = 1","-b2 + c","False","delta = 1","-b2 + c"
"_00000011","True","True","directly","(b2 - c)*d^3/(d^2 - 1) - b2*d + c - (b2 - c)*d/(d^2 - 1)","False","delta = 1","-b2 + c","False","directly","-c","False","directly","(b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","True","directly","(b2 - c)*d^3/(d^2 - 1) - b2*d + c - (b2 - c)*d/(d^2 - 1)","True","directly","(b2 - c)*d^3/(d^2 - 1) - b2*d + c - (b2 - c)*d/(d^2 - 1)","True","directly","(b2 - c)*d^3/(d^2 - 1) - b2*d + c - (b2 - c)*d/(d^2 - 1)","True","directly","(b2 - c)*d^3/(d^2 - 1) - b2*d + c - (b2 - c)*d/(d^2 - 1)"
"_00000100","True","True","directly","c*d + c","False","directly","-c","True","directly","c","True","directly","c","True","directly","c*d + c","True","directly","c*d + c","True","directly","c*d + c","True","directly","c*d + c"
"_00000101","True","True","normalised","c*(d + 1) + (b2 - c)*d","False","directly","-c","False","delta = 1","-b2 + c","False","directly","(b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","True","normalised","c*(d + 1) + (b2 - c)*d","True","normalised","c*(d + 1) + (b2 - c)*d","True","normalised","c*(d + 1) + (b2 - c)*d","True","normalised","c*(d + 1) + (b2 - c)*d"
"_00000110","True","","delta = 1","-b2 + 2*c","False","directly","-c","False","directly","-c","True","directly","c","","delta = 1","-b2 + 2*c","","delta = 1","-b2 + 2*c","","delta = 1","-b2 + 2*c","","delta = 1","-b2 + 2*c"
"_00000111","True","True","directly","c","False","directly","(b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","False","directly","(b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","False","directly","(b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","True","directly","c","True","directly","c","True","directly","c","True","directly","c"
"_00001000","False","True","directly","c","True","directly","c","True","directly","c","True","directly","c","True","directly","c","True","directly","c","True","directly","c","True","directly","c"
"_00001001","True","True","normalised","(b2 - c)*d + c","True","directly","c","True","directly","c","False","directly","(b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","True","normalised","(b2 - c)*d + c","True","normalised","(b2 - c)*d + c","True","normalised","(b2 - c)*d + c","True","normalised","(b2 - c)*d + c"
"_00001010","True","False","delta = 1","-b2 + c","True","directly","c","False","directly","-c","True","directly","c","False","delta = 1","-b2 + c","False","delta = 1","-b2 + c","False","delta = 1","-b2 + c","False","delta = 1","-b2 + c"
"_00001011","True","True","directly","(b2 - c)*d^3/(d^2 - 1) - b2*d + c - (b2 - c)*d/(d^2 - 1)","False","delta = 1","-b2 + c","False","directly","-c","False","directly","(b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","True","directly","(b2 - c)*d^3/(d^2 - 1) - b2*d + c - (b2 - c)*d/(d^2 - 1)","True","directly","(b2 - c)*d^3/(d^2 - 1) - b2*d + c - (b2 - c)*d/(d^2 - 1)","True","directly","(b2 - c)*d^3/(d^2 - 1) - b2*d + c - (b2 - c)*d/(d^2 - 1)","True","directly","(b2 - c)*d^3/(d^2 - 1) - b2*d + c - (b2 - c)*d/(d^2 - 1)"
"_00001100","True","True","directly","c*d + c","False","directly","-c","True","directly","c","True","directly","c","True","directly","c*d + c","True","directly","c*d + c","True","directly","c*d + c","True","directly","c*d + c"
"_00001101","True","True","normalised","c*(d + 1) + (b2 - c)*d","False","directly","-c","False","delta = 1","-b2 + c","False","directly","(b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","True","normalised","c*(d + 1) + (b2 - c)*d","True","normalised","c*(d + 1) + (b2 - c)*d","True","normalised","c*(d + 1) + (b2 - c)*d","True","normalised","c*(d + 1) + (b2 - c)*d"
"_00001110","True","","delta = 1","-b2 + 2*c","False","directly","-c","False","directly","-c","True","directly","c","","delta = 1","-b2 + 2*c","","delta = 1","-b2 + 2*c","","delta = 1","-b2 + 2*c","","delta = 1","-b2 + 2*c"
"_00001111","True","True","directly","c","False","directly","(b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","False","directly","(b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","False","directly","(b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","True","directly","c","True","directly","c","True","directly","c","True","directly","c"
"_00010000","True","True","directly","c","True","directly","(b1 - c)*d^3/(d^3 - 1) + c - (b1 - c)*d/(d^3 - 1)","True","directly","(b1 - c)*d^3/(d^3 - 1) + c - (b1 - c)*d/(d^3 - 1)","True","directly","(b1 - c)*d^3/(d^3 - 1) + c - (b1 - c)*d/(d^3 - 1)","True","directly","c","True","directly","c","True","directly","c","False","directly","(b1 - c)*d^2/(d^3 - 1) - b1 - (b1 - c)/(d^3 - 1)"
"_00010001","True","","delta = 1","-2*b1 + 3*b2 + c","True","directly","-(b2 - c)*d^3/(d^2 - 1) + (b1 - c)*d + (b2 - c)*d^2/(d^2 - 1) + c","True","directly","-(b2 - c)*d^3/(d^2 - 1) + (b1 - c)*d + (b2 - c)*d^2/(d^2 - 1) + c","False","directly","(b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","","delta = 1","-2*b1 + 3*b2 + c","","delta = 1","-2*b1 + 3*b2 + c","","delta = 1","-2*b1 + 3*b2 + c","False","normalised","-(b1 - b2)*d^2 - c"
"_00010010","True","","delta = 1","2*b1 - 3*b2 + c","True","directly","c","False","delta = 1","-b1 + c","True","directly","(b1 - c)*d^3/(d^3 - 1) + c - (b1 - c)*d/(d^3 - 1)","","delta = 1","2*b1 - 3*b2 + c","","delta = 1","2*b1 - 3*b2 + c","","delta = 1","2*b1 - 3*b2 + c","True","delta = 1","b1 - c"
"_00010011","True","True","directly","(b2 - c)*d^3/(d^2 - 1) - b2*d + c - (b2 - c)*d/(d^2 - 1)","False","delta = 1","-b2 + c","False","directly","(b2 - c)*d^3/(d^2 - 1) - (b1 - c)*d - (b2 - c)*d^2/(d^2 - 1) - c","False","directly","(b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","True","directly","(b2 - c)*d^3/(d^2 - 1) - b2*d + c - (b2 - c)*d/(d^2 - 1)","True","directly","(b2 - c)*d^3/(d^2 - 1) - b2*d + c - (b2 - c)*d/(d^2 - 1)","True","directly","(b2 - c)*d^3/(d^2 - 1) - b2*d + c - (b2 - c)*d/(d^2 - 1)","True","delta = 1","b2 - c"
"_00010100","True","True","directly","(b1 - c)*d^4/(d^3 - 1) + c*d - (b1 - c)*d^2/(d^3 - 1) + c","False","delta = 1","-b1 + c","True","directly","c","True","directly","(b1 - c)*d^3/(d^3 - 1) + c - (b1 - c)*d/(d^3 - 1)","True","directly","(b1 - c)*d^4/(d^3 - 1) + c*d - (b1 - c)*d^2/(d^3 - 1) + c","True","directly","(b1 - c)*d^4/(d^3 - 1) + c*d - (b1 - c)*d^2/(d^3 - 1) + c","True","directly","(b1 - c)*d^4/(d^3 - 1) + c*d - (b1 - c)*d^2/(d^3 - 1) + c","","delta = 1","b1 - 3*b2 - 4*c"
"_00010101","True","True","normalised","c*(d + 1) + (b2 - c)*d","False","directly","(b2 - c)*d^3/(d^2 - 1) - (b1 - c)*d - (b2 - c)*d^2/(d^2 - 1) - c","False","delta = 1","-b2 + c","False","directly","(b2 - c)*d^2/(d^2 - 1) - b2 - (b2 - c)/(d^2 - 1)","True","normalised","c*(d + 1) + (b2 - c)*d","True","normalised","c*(d + 1) + (b2 - c)*d","True","normalised","c*(d + 1) + (b2 - c)*d","False","directly","(b2 - c)*d^3/(d^2 - 1) - b2*d - (b2 - c)*d^2/(d^2 - 1) - c"
"_00010110","True","","delta = 1","2*b1 - 3*b2 + 4*c","False","directly","-c","False","directly","-c","True","directly","(b1 - c)*d^3/(d^3 - 1) + c - (b1 - c)*d/(d^3 - 1)","","delta = 1","2*b1 - 3*b2 + 4*c","","delta = 1","2*b1 - 3*b2 + 4*c","","delta = 1","2*b1 - 3*b2 + 4*c","","delta = 1","b1 - 3*b2 - c"
